,Ç×¸ñ
1852,45773
1853,87009
1854,44530
1855,83086
1856,13909
1857,74392
1858,64463
1859,58513
1860,76544
1861,73376
1862,65708
1863,80721
1864,63423
1865,39195
1866,70555
1867,13918
1868,73757
1869,69652
1870,78682
1871,82066
1872,39083
1873,70277
1874,66044
1875,72759
1876,47164
1877,85444
1878,60981
1879,77434
1880,43899
1881,53643
1882,73735
1883,69735
1884,66430
1885,85060
1886,66062
1887,49605
1888,49175
1889,29424
1890,80395
1891,40299
1892,49942
1893,86009
1894,62203
1895,88172
1896,80291
1897,89079
1898,73227
1899,43014
1900,51581
1901,69416
1902,67306
1903,45245
1904,80249
1905,69410
1906,67096
1907,91808
1908,70425
1909,76933
1910,74330
1911,80471
1912,70605
1913,70607
1914,87425
1915,82153
1916,88359
1917,58389
1918,91197
1919,89090
1920,89456
1921,48523
1922,49575
1923,52136
1924,83403
1925,77294
1926,85703
1927,87640
1928,17298
1929,59754
1930,86253
1931,91850
1932,70769
1933,80476
1934,40921
1935,65017
1936,63182
1937,76040
1938,52518
1939,91244
1940,42355
1941,81975
1942,86516
1943,81978
1944,77679
1945,80845
1946,68957
1947,77667
1948,77885
1949,29679
1950,65716
1951,44269
1952,64845
1953,92008
1954,90939
1955,52081
1956,43047
1957,74239
1958,89296
1959,89880
1960,75807
1961,52506
1962,63123
1963,44066
1964,58627
1965,61472
1966,63741
1967,77452
1968,90661
1969,85207
1970,22933
1971,76103
1972,65815
1973,69058
1974,29323
1975,59628
1976,58895
1977,89264
1978,82040
1979,64920
1980,51499
1981,60976
1982,91281
1983,39030
1984,73342
1985,90943
1986,82131
1987,89471
1988,67662
1989,69380
1990,13935
1991,48666
1992,42416
1993,66534
1994,51874
1995,80546
1996,17702
1997,78893
1998,80459
1999,73879
2000,57894
2001,40838
2002,66954
2003,23341
2004,49465
2005,66730
2006,83528
2007,74376
2008,58822
2009,30231
2010,13952
2011,81530
2012,65880
2013,51652
2014,56521
2015,56535
2016,61766
