,구분,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채/자산2009,부채/매출액2009,부채/현금흐름2009,유동부채/부채2009,유동자산/자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
1553,(주)프라도관광호텔,-2.08,51.38,-8.21,-12.88,0.43,4.55,73.6,9.47,2.0,26.4,35.72,1000.24,0.44,0.45,328.36,4.63,150.87,4.61,414.64,-65.99,0.55,0.7665493099044822,1.7254643985493685,6.47,0.9026937690777467,0.03201117249855397,11.17,5.18,0
1554,(주)프라임디아뜨,13.75,-49.83,0.0,0.0,0.0,-60.59,52.15,0.0,-14.27,47.85,0.0,0.75,0.24,0.84,0.0,54.67,-6747.99,47.08,0.0,-36.47,0.0,2.129723705158117,9.62053873259142,-10.19,0.37778184159121303,0.4398584484487434,-98.0,12.19,0
1555,(주)프로비스타,-3.79,1.69,0.99,36.36,-11.38,8.15,96.23,14.62,1.59,3.77,29.12,554.13,0.19,0.25,764.1,15.28,159.85,15.23,753.89,-70.73,0.11,0.8842731526385622,4.4543584868949795,-1.65,0.9441308468374535,0.1275494596512676,-7.37,6.56,0
1556,(주)프리마건설,16.72,16.36,0.0,0.0,0.0,2.23,19.94,38.55,0.73,80.06,0.0,0.4,0.33,1466.22,4683.46,101.09,165.45,26.55,59.6,1.07,21.55,0.9790946296068677,3.2253137286404385,5.95,0.997745745045703,0.9875402504544601,19.18,5.29,1
1557,(주)프리미어빌,95.63,95.94,-69.95,0.0,0.0,-317.27,70.19,0.0,-1.81,29.81,21.09,0.01,0.01,35.24,0.0,960.8,-245.1,74.14,0.0,89.44,49.26,1.0140360237955226,235.07831806293893,-40.06,0.10246392812611814,0.9982944622298927,-9416.96,0.05,0
1559,(주)프리즘투플러스,1.76,1.92,43.88,0.0,0.0,-2242.08,0.0,0.0,-9.78,0.0,0.0,0.01,0.0,19.0,0.0,97.61,-20821.97,13.04,0.0,-2.09,0.08,1.2127118101075194,280.5519130418342,-23.42,0.7226952353519408,0.855479282109647,-6569.29,5.46,0
1560,(주)플라웍스,25.16,366.65,24.93,0.0,0.0,-32.82,3.93,-301.86,-19.65,96.07,5.61,16.58,0.6,0.75,1054.48,41.04,29.74,33.97,806.93,-43.25,10.19,0.9133812579863431,1.6959649226410063,-7.19,0.8031336970415176,0.3010512297884992,-12.2,8.44,0
1561,(주)플레이위드게임즈,36.05,695.89,47.23,0.0,0.0,13.2,78.79,0.0,12.77,21.21,8.05,0.0,0.97,25.76,0.0,14.55,0.0,14.55,0.0,-186.33,4.19,2.2389894755155164,2.667143549667466,-8.57,0.9739163542608293,0.3173085269031012,-22.86,7.38,0
1562,(주)피아이피,-6.54,37.71,-18.29,0.0,0.0,-6.52,23.64,0.0,-2.2,76.36,3.02,8.05,0.34,0.53,0.0,34.3,0.0,26.93,0.0,-39.79,0.04,1.2936096610916026,3.702919923461202,-7.22,0.4681172650215485,0.207695269966587,-26.73,5.27,0
1564,(주)피앤씨,-6.52,-6.47,0.0,0.0,0.0,-2397.06,-219.96,0.0,-5.84,319.96,3.27,0.0,0.0,12.05,0.0,5857.41,-4347.66,533.06,0.0,98.16,4.1,1.0811546246809933,429.0386740740741,-21.58,0.01576903513541497,0.9986154665746793,-9260.05,4.87,0
1565,(주)피앤에이,-9.11,-9.21,20919.19,0.0,13386.58,7.22,19.65,0.0,5.01,80.35,6.12,0.93,0.69,4625.41,0.0,380.03,-1602.61,121.46,0.0,72.79,0.68,1.058678307684722,1.4538850807051418,0.0,0.24553199436498915,0.987846925071361,0.0,4.91,0
1569,(주)피코그램,10.36,63.75,45.95,0.0,0.0,-15.63,26.88,0.0,-13.74,73.12,13.7,14.72,0.88,1.08,0.0,32.84,0.0,21.19,0.0,-36.19,2.34,1.0781308750756584,1.2867463272751742,1.62,0.49983008091611714,0.1769832761858248,2.08,5.52,0
1571,(주)하우스뱅크,-6.84,-33.35,-13.42,0.0,0.0,-86.52,0.0,0.0,-1.62,0.0,0.0,0.0,0.02,0.02,0.0,25.3,-1276.84,25.3,0.0,-2.33,11.09,1.3122018482170759,67.70018207736396,-3.74,0.023719789155773396,0.007874915500738508,-253.16,2.52,0
1572,(주)하우스팬,-1.59,-0.96,-80.92,0.0,0.0,-1802.33,0.0,0.0,-19.11,0.0,0.0,0.01,0.01,10.08,0.0,57.37,-3561.07,2.74,0.0,-74.31,0.04,1.7430872598246563,163.11278606576585,-7.5,1.0,1.0,-1223.75,11.95,0
1574,(주)하우징이공삼,3.11,3.12,2.61,0.0,0.0,-16972.46,0.0,0.0,-23.45,0.0,0.0,0.0,0.0,1.95,0.0,62.12,-14024.65,4.83,0.0,-60.89,0.0,1.6157274220022748,1187.161612903226,-11.72,0.9948061532508686,0.9984446838731946,-13914.31,11.9,0
1576,(주)하이눈커뮤니티,-7.59,-42.51,-2.09,324.92,-6.37,6.38,0.0,89.42,1.12,0.0,0.0,0.0,0.18,0.18,5202.7,67.07,517.03,67.07,5200.77,-0.94,1.21,0.9811416702885689,5.371568023681665,4.78,0.029208793530824475,0.019221833016663085,25.65,6.79,0
1577,(주)하이디스,21.27,25.11,-21.99,0.0,-77.1,0.85,13.21,0.0,1.46,86.79,4.79,21.06,1.72,17.14,0.0,51.73,-3492.27,43.4,0.0,-57.36,2.48,1.365968964397717,0.8724266103330917,6.91,0.8699957684400087,0.6148101108375768,6.03,5.89,0
1579,(주)하임디앤씨,58.29,68.27,56.14,0.0,0.0,-64.89,35.73,-1417.29,-6.34,64.27,1.57,0.11,0.1,4.88,0.0,97.84,-1438.27,11.57,0.0,-2.2,0.63,1.0222254852032533,12.817718754274948,-8.12,0.9959819644631608,0.9961055109194723,-104.09,7.88,1
1580,(주)학교와미래,-2.75,7.62,24.79,0.0,0.0,-2.15,0.0,-1.69,-0.17,0.0,0.0,0.0,0.08,12887.72,904.49,139.09,97.41,139.09,944.36,1.68,7.71,0.9004473801895495,11.385736019821826,-7.86,0.047801963413105164,0.059869611353489914,-89.52,7.07,0
1581,(주)한경엘앤디,171.82,10.37,0.0,0.0,0.0,-866.4,-65.46,0.0,-6.98,165.46,337.87,252.04,0.01,0.01,0.0,5.05,-35.42,5.05,0.0,-86.93,0.31,1.0152086753191962,184.12128626354422,3.06,0.9018285436411196,0.04627543555508721,562.67,1.4,0
1582,(주)한국공간정보통신,-14.19,-19.35,-7.57,0.0,0.0,3.11,25.24,71.41,4.35,74.76,2.62,0.0,1.4,32.02,1011.29,103.87,39.6,103.87,278.39,2.79,9.26,0.9100148459989963,0.6007472997923645,4.21,0.7929065284391449,0.7494862435471443,2.53,7.12,1
1583,주식회사아트티앤에스,-13.0,-13.08,104.79,0.0,207.18,8.77,21.3,0.0,7.9,78.7,1498.78,0.96,0.9,11745.29,0.0,318.78,-2212.23,22.39,0.0,68.12,4.91,1.1665230903164034,1.2047741857842136,10.41,0.2669191358479974,0.9925754972691806,12.54,4.78,0
1584,주식회사악시오나윈드파워코리아,-52.2,-52.93,-80.52,0.0,-95.34,6.49,6.57,0.0,4.79,93.43,0.9,7.03,0.74,0.0,0.0,100.26,-719.6,100.26,0.0,0.26,1.05,1.1679085662604807,1.0236924092622541,19.76,0.8405006798382773,0.9841913889620661,20.22,9.06,1
1585,주식회사안산판지,-11.09,-41.68,6.57,0.0,0.0,-6.76,16.8,-38.35,-5.12,83.2,8.3,14.59,0.76,0.95,858.37,22.68,210.92,15.25,821.47,-48.7,0.35,0.8956565677853116,1.112248926284542,-2.11,0.7032806671758521,0.1428491709822567,-2.34,7.94,0
1587,주식회사알룩스,8.44,32.72,-6.63,0.0,0.0,6.94,16.85,329.69,8.17,83.15,7.79,6.29,1.18,2.83,1463.87,77.62,49.1,51.76,698.57,-15.96,25.0,0.9360558667335631,0.8276494121642611,5.08,0.7615653250364123,0.5533055466451721,4.21,6.12,0
